,,,,,,,,,,,,,,
,,税抜,,,,,,,,,,,,
,,※前提として葬儀は市の斎場,,,,,葬儀,,,,,火葬のみ,,
,,,,,,,2日葬,1日葬,こっそり家族葬,お別れ自宅葬,,直葬のみ,面会火葬式,お別れ火葬式
,,,,基本プラン,,基本料金にまとめるので一旦ブランク→," 700,000 "," 500,000 "," 350,000 ","¥400,000",," 150,000 ","¥250,000","¥350,000"
,,,,,,,"2日、1日葬の違い
・運営人件費
・料理
・お布施
・会館使用料",,,,,,,
,,項目,詳細,ランク,原価,オプション(販売)金額,,,,,,LS安置場→火葬場,,
,,搬送料金（最長20ｋｍ）,（出発地点～安置場所）（安置場所～火葬場）,,,,,,,,,●,,
,,搬送料金（最長50ｋｍ）,（出発地点～安置場所）（安置場所～火葬場）,,,,●,●,●,●,,,●,●
,,安置施設,弊社にてお預かり安置室利用料,,,,●,●,●,●,,●(プラン外必要日数),●,●
,,ドライアイス,お預かり安置もしくはご自宅にてドライアイス,,,,●,●,●,●,,●(プラン外必要日数),●,●
,,枕飾り一式,白木机・香炉・リン・線香・ろうそく,," 3,000 ",,●,●,●,●,,,●,●
,,役所・火葬場手続き代行,役所に提出する死亡届、死亡診断書の代行,,,,●,●,●,●,,●,●,●
,,プロの納棺師,納棺師による清拭・着せ替え・メイク,," 25,000 "," 50,000 ",●,●,,●,," 50,000 "," 50,000 "," 50,000 "
,,湯灌,故人の体を洗い清め、旅立ちを整える儀式。,," 55,000 "," 100,000 "," 100,000 "," 100,000 "," 100,000 "," 100,000 ",," 100,000 "," 100,000 "," 100,000 "
,,お棺・仏衣一式・布団,棺：布無し・色なし　180ｃｍ,基本プラン," 16,200 ",,●,●,●,●,,●,●,●
,,,風雅アイボリー,," 22,000 "," 37,450 "," 37,450 "," 37,450 "," 37,450 "," 37,450 ",,," 37,450 "," 37,450 "
,,,風雅パープル,," 22,000 "," 37,450 "," 37,450 "," 37,450 "," 37,450 "," 37,450 ",,," 37,450 "," 37,450 "
,,,風雅シルバー,," 22,000 "," 37,450 "," 37,450 "," 37,450 "," 37,450 "," 37,450 ",,," 37,450 "," 37,450 "
